missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.08,linear_interpolation,original,all,channel_59,980,0.001814169644910429,0.000709955424678569,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_60,1005,0.0015308384846772027,0.0005737887093083775,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_61,973,0.00012342670765083183,3.956878540572258e-06,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_62,1026,0.0,0.0,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_63,943,0.0,0.0,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_64,1033,6.8976426301057975e-06,3.035047739773037e-07,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_65,1019,1.203114473034205e-05,9.231993213837e-07,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_66,968,4.348007698441161e-05,1.102082492891422e-05,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_67,974,3.555117345575221e-05,8.68954942456506e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_68,1034,4.7014211880393345e-05,1.612605393739918e-05,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_69,965,1.5455266687521306e-05,1.9134943967038484e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_70,968,0.0069690798325237465,0.006147113651776117,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_71,999,0.007190416540333478,0.006792293117569016,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_72,1027,0.007381643785581651,0.006809285285990565,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_73,1030,0.0054577149357816854,0.004195476677811261,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_74,993,0.00637846331924457,0.0052522895679493085,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_75,985,0.004700206160736633,0.004100767186450474,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_76,990,0.0067164645237082566,0.00571943527520305,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_1,978,0.0,0.0,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_2,924,0.0,0.0,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_3,969,1.1343952529250501e-05,6.06826338359569e-07,,,continuous,False,False
