missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps
0.05,forward_fill,original,all,non_differenced,68,41747,0.03834316654869773,0.0054538815182113435,
0.05,forward_fill,original,anomaly_rare,all_channels,76,1079,0.02189093644340661,0.001630612666394123,
0.05,forward_fill,original,anomaly_rare,continuous,44,809,0.007499519083984666,0.0009639649818868956,
0.05,forward_fill,original,anomaly_rare,discrete_like,32,270,0.04179183505534616,0.0036280866544176307,
0.05,forward_fill,original,anomaly_rare,near_constant,0,0,,,
0.05,forward_fill,original,anomaly_rare,differenced,8,0,,,
0.05,forward_fill,original,anomaly_rare,non_differenced,68,1079,0.02189093644340661,0.001630612666394123,
0.05,forward_fill,original,held,all_channels,76,23183,0.010156762281074743,0.00040808038215538737,
0.05,forward_fill,original,held,continuous,44,16747,0.010755056928455112,0.0005096174624102662,
0.05,forward_fill,original,held,discrete_like,32,6436,0.008402621856052641,0.00014387256937905808,
0.05,forward_fill,original,held,near_constant,0,0,,,
0.05,forward_fill,original,held,differenced,8,3968,2.53339233962096e-10,1.4393310873918543e-11,
0.05,forward_fill,original,held,non_differenced,68,19215,0.011156292984877143,0.0004923511549516361,
0.05,forward_fill,original,nominal,all_channels,76,45641,0.036516227984416984,0.0049500179315272634,
0.05,forward_fill,original,nominal,continuous,44,26163,0.010014268499732411,0.0009370018611438206,
0.05,forward_fill,original,nominal,discrete_like,32,19478,0.05467916067016831,0.010340332103898248,
0.05,forward_fill,original,nominal,near_constant,0,0,,,
0.05,forward_fill,original,nominal,differenced,8,4973,1.0692153815007366e-07,1.5584721520539781e-09,
0.05,forward_fill,original,nominal,non_differenced,68,40668,0.03868450802918867,0.005555320169729365,
0.05,forward_fill,original,update,all_channels,76,23537,0.05006042972473729,0.00927147350943377,
0.05,forward_fill,original,update,continuous,44,10225,0.008461767685109957,0.0016391260373245398,
0.05,forward_fill,original,update,discrete_like,32,13312,0.06615099069933594,0.01513390987529291,
0.05,forward_fill,original,update,near_constant,0,0,,,
0.05,forward_fill,original,update,differenced,8,1005,2.3784302720701693e-07,7.654894880215646e-09,
0.05,forward_fill,original,update,non_differenced,68,22532,0.05116467922894388,0.00968501084228534,
0.05,linear_interpolation,normalized,all,all_channels,76,46720,0.5976125241113089,0.19609267032575278,
0.05,linear_interpolation,normalized,all,continuous,44,26972,0.09637782240248184,0.017091345262148692,
0.05,linear_interpolation,normalized,all,discrete_like,32,19748,0.9122720262692404,0.44057432617016884,
0.05,linear_interpolation,normalized,all,near_constant,0,0,,,
0.05,linear_interpolation,normalized,all,differenced,8,4973,0.05221318220342321,0.0012654459454896775,
0.05,linear_interpolation,normalized,all,non_differenced,68,41747,0.6319489000375214,0.21930094365899944,
0.05,linear_interpolation,normalized,anomaly_rare,all_channels,76,1079,0.5158959088459086,0.05361178704987145,
0.05,linear_interpolation,normalized,anomaly_rare,continuous,44,809,0.3330939154662871,0.025709380949438723,
0.05,linear_interpolation,normalized,anomaly_rare,discrete_like,32,270,0.8550817982337567,0.1372156631063532,
0.05,linear_interpolation,normalized,anomaly_rare,near_constant,0,0,,,
0.05,linear_interpolation,normalized,anomaly_rare,differenced,8,0,,,
0.05,linear_interpolation,normalized,anomaly_rare,non_differenced,68,1079,0.5158959088459086,0.05361178704987145,
0.05,linear_interpolation,normalized,held,all_channels,76,23183,0.08154477942339626,0.005552180212402279,
0.05,linear_interpolation,normalized,held,continuous,44,16747,0.03195402562547997,0.004894058697622783,
0.05,linear_interpolation,normalized,held,discrete_like,32,6436,0.14592925395742568,0.0072646663851823,
0.05,linear_interpolation,normalized,held,near_constant,0,0,,,
0.05,linear_interpolation,normalized,held,differenced,8,3968,0.050502840383674925,0.0011187406677392222,
0.05,linear_interpolation,normalized,held,non_differenced,68,19215,0.08657955498749417,0.006467709128000666,
0.05,linear_interpolation,normalized,nominal,all_channels,76,45641,0.5994096065752024,0.19946106437952263,
0.05,linear_interpolation,normalized,nominal,continuous,44,26163,0.0783907730230119,0.016824862419219346,
0.05,linear_interpolation,normalized,nominal,discrete_like,32,19478,0.9130396133599556,0.444779421083877,
0.05,linear_interpolation,normalized,nominal,near_constant,0,0,,,
0.05,linear_interpolation,normalized,nominal,differenced,8,4973,0.05221318220342321,0.0012654459454896775,
0.05,linear_interpolation,normalized,nominal,non_differenced,68,40668,0.6347391203000098,0.22369699460654252,
0.05,linear_interpolation,normalized,update,all_channels,76,23537,0.8380694882965826,0.3837674029672245,
0.05,linear_interpolation,normalized,update,continuous,44,10225,0.15109533729718375,0.0370686516923543,
0.05,linear_interpolation,normalized,update,discrete_like,32,13312,1.106485728431424,0.6500680889487109,
0.05,linear_interpolation,normalized,update,near_constant,0,0,,,
0.05,linear_interpolation,normalized,update,differenced,8,1005,0.058479436956261385,0.0018446762170364608,
0.05,linear_interpolation,normalized,update,non_differenced,68,22532,0.8564668570552656,0.4008023905574934,
0.05,linear_interpolation,original,all,all_channels,76,46720,0.0297738996442688,0.004353816306940011,
0.05,linear_interpolation,original,all,continuous,44,26972,0.0013172771593387043,0.0003863456436420907,
0.05,linear_interpolation,original,all,discrete_like,32,19748,0.04576990958501347,0.009772624223208569,
0.05,linear_interpolation,original,all,near_constant,0,0,,,
0.05,linear_interpolation,original,all,differenced,8,4973,7.393668761785438e-08,1.7778718485341031e-09,
0.05,linear_interpolation,original,all,non_differenced,68,41747,0.0314973851700761,0.0048724528473634175,
0.05,linear_interpolation,original,anomaly_rare,all_channels,76,1079,0.003106867695240884,0.0005160921843000882,
0.05,linear_interpolation,original,anomaly_rare,continuous,44,809,0.0025214773008404657,0.00045380053399372454,
0.05,linear_interpolation,original,anomaly_rare,discrete_like,32,270,0.004418683206727963,0.0007027364254032296,
0.05,linear_interpolation,original,anomaly_rare,near_constant,0,0,,,
0.05,linear_interpolation,original,anomaly_rare,differenced,8,0,,,
0.05,linear_interpolation,original,anomaly_rare,non_differenced,68,1079,0.003106867695240884,0.0005160921843000882,
0.05,linear_interpolation,original,held,all_channels,76,23183,0.000832045016200172,0.0001696175106055114,
0.05,linear_interpolation,original,held,continuous,44,16747,0.0009611821629448842,0.0002199908841294325,
0.05,linear_interpolation,original,held,discrete_like,32,6436,0.00029954789110611397,3.854186013858995e-05,
0.05,linear_interpolation,original,held,near_constant,0,0,,,
0.05,linear_interpolation,original,held,differenced,8,3968,7.25207618847663e-08,1.5947650368733804e-09,
0.05,linear_interpolation,original,held,non_differenced,68,19215,0.0009139268710263479,0.00020464410202133255,
0.05,linear_interpolation,original,nominal,all_channels,76,45641,0.03011999863898671,0.004444544037014471,
0.05,linear_interpolation,original,nominal,continuous,44,26163,0.0012618559151020723,0.00038425983519908065,
0.05,linear_interpolation,original,nominal,discrete_like,32,19478,0.04608310787902441,0.009898349128507235,
0.05,linear_interpolation,original,nominal,near_constant,0,0,,,
0.05,linear_interpolation,original,nominal,differenced,8,4973,7.393668761785438e-08,1.7778718485341031e-09,
0.05,linear_interpolation,original,nominal,non_differenced,68,40668,0.0319084799691366,0.00498803544683832,
0.05,linear_interpolation,original,update,all_channels,76,23537,0.04193990277701878,0.008475084127623303,
0.05,linear_interpolation,original,update,continuous,44,10225,0.0017504525429200065,0.0006588095221319182,
0.05,linear_interpolation,original,update,discrete_like,32,13312,0.055746413011785165,0.014478795654151956,
0.05,linear_interpolation,original,update,near_constant,0,0,,,
0.05,linear_interpolation,original,update,differenced,8,1005,7.928048910683253e-08,2.500824911887086e-09,
0.05,linear_interpolation,original,update,non_differenced,68,22532,0.04286502701393641,0.008853100150831735,
