method,method_label,mask_family,mask_label,channel_index,channel,normalized_rmse,normalized_mae,evaluation_points
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,33,channel_34,0.6755909508467967,0.5834078493853965,6664
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,34,channel_35,0.7899685244411747,0.6432339507167966,6800
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,35,channel_36,0.8439587944234633,0.664333046535239,6324
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,36,channel_37,0.7411428274998347,0.607934045395755,6460
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,37,channel_38,1.0601020538823436,0.849983905943294,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,38,channel_39,0.9931405569300418,0.880548029967578,6392
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,39,channel_40,0.8154240105565825,0.6945876418418174,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,40,channel_41,1.5533414338109304,1.2550384930272402,6324
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,41,channel_42,0.8801922353471768,0.714557489925956,5644
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,42,channel_43,3.559736330116589,2.647800878898791,6052
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,43,channel_44,1.4681390971219668,1.1794047558218543,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,44,channel_45,0.8432970133451124,0.6828886127787976,6596
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,45,channel_46,1.3822188466528968,1.1388034810898382,6596
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,46,channel_47,0.7609015319071365,0.6421640318370361,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,47,channel_48,0.7603991321440611,0.6247563055320796,6596
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,48,channel_49,0.7680978698221215,0.562772724471719,6120
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,49,channel_50,0.7523054562872367,0.6233771120218845,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,50,channel_51,0.7825789461974331,0.6515380054341224,6120
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,51,channel_52,0.7946293289696567,0.6004050122805713,5712
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,52,channel_53,0.9896220553722446,0.4951551617837581,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,53,channel_54,1.0198196868532072,0.6104120766956653,6188
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,54,channel_55,0.9772414972148323,0.5794897063226867,6392
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,55,channel_56,0.9971382623437031,0.68849298037234,5644
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,56,channel_57,0.801743931619803,0.6842271407021753,6868
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,57,channel_58,0.8365507723386489,0.7281728452521631,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,58,channel_59,1.0267405863282169,0.8507566128908157,6120
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,59,channel_60,0.8032887107511597,0.6635007270719734,6460
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,60,channel_61,0.9054988311308118,0.7390106328667797,5984
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,61,channel_62,0.7086511900247463,0.49356443360364083,6256
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,62,channel_63,0.7523681288385805,0.5603535391458938,5440
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,63,channel_64,0.8666188057627017,0.10195408210510723,6868
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,64,channel_65,0.7699479902181139,0.09804114403321076,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,65,channel_66,1.0325754443594877,0.9121907701305492,6188
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,66,channel_67,0.012253596079133513,0.011834317932980948,5440
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,67,channel_68,0.005252254508948012,0.002087370355226182,6596
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,68,channel_69,0.017225532702273488,0.0034805634000322585,6732
