window_index,window_start,method,method_label,mask_family,mask_label,normalized_rmse,normalized_mae,evaluation_points
7,5972502,random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.844984840791678,0.5814290401029724,3648
7,5972502,shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.7289160678483906,0.5108107495519572,3648
7,5972502,global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.8241055570739916,0.6395331255665504,3648
7,5972502,raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0.8184181093990683,0.5737241331975911,3672
7,5972502,diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.8068225670797545,0.5752128115987593,3672
7,5972502,spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.7948919415741201,0.5615933055980973,3672
7,5972502,random,随机 Top-8,rectangle_50,矩形缺失 50%,0.8420876972473115,0.6219443811358213,3672
7,5972502,shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.7745525486608503,0.5671792274069313,3672
7,5972502,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.8766637789532423,0.675464753541449,3672
7,5972502,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.8531270969070733,0.6363377923622467,3648
7,5972502,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.8594327534896979,0.6419501869181425,3648
7,5972502,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.8546873701533277,0.6357973490952584,3648
7,5972502,random,随机 Top-8,time_block_50,时间块缺失 50%,0.8658263941607932,0.6522968158691075,3648
7,5972502,shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.8643847538973666,0.6498129337632484,3648
7,5972502,global_mean,零值基线,time_block_50,时间块缺失 50%,0.853287222475416,0.6353126139702318,3648
8,5984099,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7127003896335213,0.5179643347160876,3648
8,5984099,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.703327407828662,0.4939055890763283,3648
8,5984099,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.7179480581524215,0.5234537211558249,3648
8,5984099,random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.8503981314583933,0.5621172913962851,3648
8,5984099,shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.8440586676724467,0.5982305548612903,3648
8,5984099,global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.918038951143018,0.741808632311739,3648
