channel_id,channel,horizon_steps,window_minutes,missing_ratio,method,spectral_cosine,dominant_peak_preserved,high_frequency_inflation
12,channel_12,96,48.0,0.5,linear,0.48016931763666804,True,-0.05885871166046011
12,channel_12,96,48.0,0.5,linear,0.7190879032835329,False,-0.05123472155872697
12,channel_12,96,48.0,0.5,linear,0.6526519631223588,False,-0.04994614585899276
12,channel_12,96,48.0,0.5,linear,0.8657208327731548,False,-0.02384402819532703
12,channel_12,96,48.0,0.5,linear,0.6887709530085652,False,-0.06358806373846483
12,channel_12,96,48.0,0.5,linear,0.9271386389812294,False,-0.014586490297458524
12,channel_12,96,48.0,0.5,linear,0.6276638087236394,False,-0.06009511961006203
12,channel_12,96,48.0,0.5,linear,0.5335942134193455,False,-0.06191897735149428
12,channel_12,96,48.0,0.5,linear,0.9456278715319792,False,-0.012498240815165096
12,channel_12,96,48.0,0.5,linear,0.9999999999999999,True,0.0
12,channel_12,96,48.0,0.5,linear,0.9030394394734859,False,-0.011227129578749034
12,channel_12,96,48.0,0.5,linear,0.9621762666328386,False,0.0003986659480220839
12,channel_12,96,48.0,0.5,linear,0.5738953273700892,False,-0.04343191135295391
12,channel_12,96,48.0,0.5,linear,0.7515995272449414,False,-0.0271492505863066
12,channel_12,96,48.0,0.5,linear,0.8409024762373005,False,-0.05598761323463543
12,channel_12,96,48.0,0.5,linear,0.8197098991926727,False,-0.03823731862389587
12,channel_12,96,48.0,0.5,linear,0.7093919881791682,True,-0.040926446715463596
12,channel_12,96,48.0,0.5,linear,0.9999999999999996,True,0.0
12,channel_12,96,48.0,0.5,linear,0.8575387117397001,False,-0.030809849299706663
12,channel_12,96,48.0,0.5,linear,0.9977522860456742,False,0.0010719109835594653
12,channel_12,96,48.0,0.5,linear,0.8133572820050405,False,-0.01209988703185274
12,channel_12,96,48.0,0.5,linear,0.8368248923601476,True,-0.016698498189822036
12,channel_12,96,48.0,0.5,linear,0.6212058515916918,False,-0.058121367218699
12,channel_12,96,48.0,0.5,linear,0.847609252931905,False,-0.03215461251963957
12,channel_12,96,48.0,0.5,linear,0.9742006025027486,False,-0.0009041762823727498
12,channel_12,96,48.0,0.5,linear,0.7589285236504068,True,-0.05060715380966896
12,channel_12,96,48.0,0.5,linear,0.9999999999999999,True,0.0
12,channel_12,96,48.0,0.5,linear,0.6739342146942114,False,-0.038976850142070175
12,channel_12,96,48.0,0.5,linear,0.8651264551592656,False,-0.040582948828201806
12,channel_12,96,48.0,0.5,linear,0.9242459434703894,False,-0.008959630732820717
12,channel_12,96,48.0,0.5,linear,0.9125751803936168,False,-0.019540875684692913
12,channel_12,96,48.0,0.5,linear,0.6395742918637335,False,-0.06614721760471189
12,channel_12,96,48.0,0.5,linear,0.9784009594735524,False,-0.0027253141986672558
12,channel_12,96,48.0,0.5,linear,0.9068363426953653,False,-0.006092709546727755
12,channel_12,96,48.0,0.5,linear,0.8862084330099554,True,0.0047413013087237235
12,channel_12,96,48.0,0.9,zero,0.6076274566237955,True,-0.05352752677829236
12,channel_12,96,48.0,0.9,zero,0.4477027656915011,False,-0.0695464711875164
12,channel_12,96,48.0,0.9,zero,0.44391991499634637,False,-0.07210593281073481
12,channel_12,96,48.0,0.9,zero,0.5407946547015171,False,-0.05487948874576988
12,channel_12,96,48.0,0.9,zero,0.2609264507061491,False,-0.06939783411593156
12,channel_12,96,48.0,0.9,zero,0.3156482938634309,False,-0.04341583586195348
12,channel_12,96,48.0,0.9,zero,0.584757795396484,False,-0.03475660806439678
12,channel_12,96,48.0,0.9,zero,0.344472429218253,False,-0.07221423575147885
12,channel_12,96,48.0,0.9,zero,0.4981031672736335,False,-0.06248146803766719
12,channel_12,96,48.0,0.9,zero,0.4469469918213795,False,-0.0738511072035312
12,channel_12,96,48.0,0.9,zero,0.37418270147577326,False,-0.04856329770664308
12,channel_12,96,48.0,0.9,zero,0.5883424333529266,False,-0.06959219591955434
12,channel_12,96,48.0,0.9,zero,0.4906578137627798,True,-0.07638659090354086
12,channel_12,96,48.0,0.9,zero,0.897541929911753,True,-0.03016216253604526
12,channel_12,96,48.0,0.9,zero,0.704782482517734,False,-0.05142201444415613
12,channel_12,96,48.0,0.9,zero,0.5613030710837401,False,-0.0595063304618421
12,channel_12,96,48.0,0.9,zero,0.2678818748310339,False,-0.06483841171847689
12,channel_12,96,48.0,0.9,zero,0.6371329507543809,True,-0.035883810106103226
12,channel_12,96,48.0,0.9,zero,0.3175894137616176,False,-0.0721841658407337
12,channel_12,96,48.0,0.9,zero,0.4936422377324036,True,-0.05309250671257323
12,channel_12,96,48.0,0.9,zero,0.15011426491627688,False,-0.07839915138171213
12,channel_12,96,48.0,0.9,zero,0.2608405033854806,False,-0.10336406061083926
12,channel_12,96,48.0,0.9,zero,0.7081496843459902,True,-0.04774658713963698
12,channel_12,96,48.0,0.9,zero,0.9754691279993574,True,-0.0020140360580790384
12,channel_12,96,48.0,0.9,zero,0.5073224560506489,False,-0.04782770755180121
